City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Chokurdakh,RU,70.6333,147.9167,24.55,94,75,10.94,broken clouds
80,Elko,US,41.0002,-115.5012,51.82,65,100,11.01,overcast clouds
81,Okhotsk,RU,59.3833,143.3,35.62,82,26,5.12,scattered clouds
82,Barrow,US,71.2906,-156.7887,19.42,93,100,17.27,overcast clouds
83,Takaungu,KE,-3.6837,39.8566,78.21,86,86,15.12,moderate rain
84,Nova Russas,BR,-4.7067,-40.5631,77.2,82,100,3.67,overcast clouds
85,Pisco,PE,-13.7,-76.2167,69.85,68,0,18.41,clear sky
86,Manaia,NZ,-39.55,174.1333,65.57,79,100,8.12,overcast clouds
87,Ruteng,ID,-8.6136,120.4721,61.7,94,72,2.82,broken clouds
88,Gat,IL,31.61,34.7642,65.08,100,0,4.85,clear sky
89,Punto Fijo,VE,11.6956,-70.1996,82.56,74,94,26.15,overcast clouds
90,Guerrero Negro,MX,27.9769,-114.0611,69.24,54,0,16.91,clear sky
91,Ribeira Grande,PT,38.5167,-28.7,63.23,80,24,2.73,few clouds
92,Qaanaaq,GL,77.484,-69.3632,10.13,74,19,4.63,few clouds
93,Alappuzha,IN,9.49,76.3264,80.76,83,100,7.81,overcast clouds
94,Husavik,IS,66.0449,-17.3389,27.86,78,100,9.69,overcast clouds
95,Kaitangata,NZ,-46.2817,169.8464,53.31,84,12,5.3,few clouds
96,Udachnyy,RU,66.4167,112.4,11.32,87,19,5.44,few clouds
97,Borogontsy,RU,62.6683,131.1683,36.27,80,63,11.74,broken clouds
98,Nahavand,IR,34.1885,48.377,51.13,78,57,2.1,broken clouds
99,Yakeshi,CN,49.2833,120.7333,40.01,35,98,8.05,overcast clouds
100,Kruisfontein,ZA,-34.0033,24.7314,50.88,90,0,5.06,clear sky
101,Birjand,IR,32.8663,59.2211,57.67,77,0,0.0,clear sky
102,Sexsmith,CA,55.35,-118.786,49.35,66,75,11.5,broken clouds
103,Kamenka,RU,51.3223,42.7678,39.34,57,14,4.43,few clouds
104,Meadville,US,41.6414,-80.1515,63.77,84,40,5.99,scattered clouds
105,Cherskiy,RU,68.75,161.3,25.18,85,17,11.21,few clouds
106,Nouna,BF,12.7333,-3.8667,91.2,37,100,11.03,light rain
107,Tilichiki,RU,60.4667,166.1,20.98,87,21,6.13,few clouds
108,Harrison,US,30.4091,-89.0436,84.27,57,20,9.22,few clouds
109,Half Moon Bay,US,37.4636,-122.4286,78.42,60,0,19.57,clear sky
110,Castro,BR,-24.7911,-50.0119,61.86,91,44,2.44,scattered clouds
111,Georgetown,MY,5.4112,100.3354,82.33,93,20,3.44,thunderstorm
112,Shache,CN,38.4167,77.2406,61.72,19,9,7.11,clear sky
113,Provideniya,RU,64.3833,-173.3,28.49,64,19,12.84,few clouds
114,Thompson,CA,55.7435,-97.8558,28.56,80,100,13.8,overcast clouds
115,Tasiilaq,GL,65.6145,-37.6368,30.36,57,88,7.47,overcast clouds
116,Ostrovnoy,RU,68.0531,39.5131,16.12,90,67,8.48,broken clouds
117,Bredasdorp,ZA,-34.5322,20.0403,55.96,94,29,3.89,scattered clouds
118,Adre,TD,13.4667,22.2,84.43,10,71,5.61,broken clouds
119,Srednekolymsk,RU,67.45,153.6833,32.43,96,100,2.46,overcast clouds
120,Vanimo,PG,-2.6741,141.3028,78.31,89,98,4.79,overcast clouds
121,Oussouye,SN,12.485,-16.5469,78.98,67,5,8.34,clear sky
122,Shubarkuduk,KZ,49.1447,56.4872,46.49,71,4,13.91,clear sky
123,Khatanga,RU,71.9667,102.5,10.98,92,92,8.05,overcast clouds
124,Bengkulu,ID,-3.8004,102.2655,75.76,88,94,5.1,overcast clouds
125,Norman Wells,CA,65.282,-126.8329,50.04,40,75,20.71,broken clouds
126,Batagay-Alyta,RU,67.8006,130.4114,17.74,84,100,5.82,overcast clouds
127,Wonthaggi,AU,-38.6044,145.5913,56.82,77,100,11.5,overcast clouds
128,Talnakh,RU,69.4865,88.3972,16.61,96,100,5.57,light snow
129,Saint George,US,37.1041,-113.5841,81.63,12,0,27.63,haze
130,Codrington,AU,-38.2667,141.9667,58.86,82,100,8.55,overcast clouds
131,Tari,NG,12.4086,4.4914,92.95,17,39,5.95,scattered clouds
132,Vardo,NO,70.3705,31.1107,27.64,60,92,2.51,overcast clouds
133,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,88,0,8.05,clear sky
134,Redmond,US,47.674,-122.1215,65.7,59,100,4.0,overcast clouds
135,Sitka,US,57.0531,-135.33,46.29,76,100,13.8,overcast clouds
136,Muros,ES,42.7762,-9.0603,52.63,86,10,6.53,clear sky
137,Alta,NO,69.9689,23.2717,32.2,78,75,9.22,broken clouds
138,Victoria,HK,22.2855,114.1577,64.26,94,100,5.99,light rain
139,Axim,GH,4.8699,-2.2405,80.33,84,74,6.93,broken clouds
140,Camopi,GF,3.1655,-52.3158,74.21,88,45,4.16,scattered clouds
141,Aasiaat,GL,68.7098,-52.8699,16.41,78,3,4.23,clear sky
142,Lorengau,PG,-2.0226,147.2712,81.61,80,86,3.76,overcast clouds
143,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,84,0,10.36,clear sky
144,Ballina,AU,-28.8667,153.5667,64.58,96,40,6.91,scattered clouds
145,Nikolskoye,RU,59.7035,30.7861,40.91,88,61,5.59,broken clouds
146,Katangli,RU,51.7102,143.2326,28.2,99,88,2.28,overcast clouds
147,Tiksi,RU,71.6872,128.8694,16.47,89,98,11.83,overcast clouds
148,Chuy,UY,-33.6971,-53.4616,54.55,73,0,9.01,clear sky
149,Lubao,PH,14.9167,120.55,80.31,82,97,2.68,overcast clouds
150,Saldanha,ZA,-33.0117,17.9442,55.45,85,0,8.93,clear sky
151,Kodiak,US,57.79,-152.4072,42.31,81,100,19.57,light rain
152,Isangel,VU,-19.55,169.2667,84.31,84,75,2.3,broken clouds
153,Cervo,ES,43.6702,-7.4101,55.96,79,100,3.76,overcast clouds
154,Marang,MY,5.2056,103.2059,78.71,86,100,2.46,overcast clouds
155,Hualmay,PE,-11.0964,-77.6139,68.18,80,54,8.68,broken clouds
156,Lardos,GR,36.0942,28.0157,66.02,78,97,15.39,overcast clouds
157,Nhulunbuy,AU,-12.2333,136.7667,81.21,74,40,8.05,scattered clouds
